,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
2379,Restaurant,3,LAKE UNION,1978,2,26519,Restaurant,13592.0,Office,12927.0,None,0.0,,140.1999969,3717064.0,0.0,2170550.0,1546514.0,97.27,3.67
2380,Mixed Use Property,3,LAKE UNION,1988,2,34639,Restaurant,23373.0,Other,19659.0,Parking,15402.0,,370.8999939,15960838.0,0.0,6642344.0,8838336.0,515.71,14.89
2381,Other,7,MAGNOLIA / QUEEN ANNE,1921,2,26300,Entertainment/Public Assembly,26300.0,None,0.0,None,0.0,,141.1000061,3711173.0,0.0,1537923.0,1999918.0,116.94,4.45
2382,Restaurant,7,LAKE UNION,1962,2,34072,Restaurant,34072.0,None,0.0,None,0.0,,205.6999969,7007726.0,0.0,2664187.0,3920779.0,226.81,6.66
2383,Small- and Mid-Sized Office,7,LAKE UNION,1949,3,23355,Office,21915.0,None,0.0,None,0.0,77.0,38.40000153,840549.375,0.0,840549.0,0.0,5.86,0.25
2384,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1965,4,30840,Office,29255.0,Restaurant,1180.0,None,0.0,30.0,126.1999969,3840161.75,0.0,1884294.0,1658414.0,101.21,3.28
2385,Other,4,NORTHEAST,1946,1,20332,Other,20332.0,None,0.0,None,0.0,,21.20000076,431857.6875,0.0,213927.0,178757.0,10.99,0.54
2392,Worship Facility,3,CENTRAL,1900,1,21850,Worship Facility,21850.0,None,0.0,None,0.0,100.0,16.5,359962.5938,0.0,82056.0,235738.0,13.09,0.6
2402,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1918,2,28309,Self-Storage Facility,28309.0,None,0.0,None,0.0,,17.60000038,498364.9063,0.0,238481.0,191828.0,11.85,0.42
2403,Hotel,7,DOWNTOWN,1914,4,45500,Hotel,45500.0,None,0.0,None,0.0,77.0,64.5,2934339.25,941139.6875,1069553.0,788902.0,122.0,2.68
2404,Small- and Mid-Sized Office,7,DOWNTOWN,1900,5,38376,Office,29258.0,Retail Store,2409.0,None,0.0,,67.69999695,2142457.5,0.0,2058533.0,0.0,14.35,0.37
2406,Small- and Mid-Sized Office,7,DOWNTOWN,1900,4,42804,Office,24120.0,Retail Store,6583.0,None,0.0,,52.0,1598032.0,0.0,769417.0,775085.0,46.53,1.09
2409,Small- and Mid-Sized Office,7,DOWNTOWN,1900,4,33300,Office,26639.0,Restaurant,2820.0,Retail Store,2377.0,,40.70000076,1355968.5,0.0,1075503.0,211994.0,18.76,0.56
2410,Hotel,7,DOWNTOWN,1900,3,25450,Hotel,25450.0,None,0.0,None,0.0,99.0,19.39999962,492844.5938,0.0,503745.0,0.0,3.51,0.14
2411,Other,7,DOWNTOWN,1900,3,22200,Other,22200.0,None,0.0,None,0.0,,10.39999962,231847.0938,0.0,64453.0,124293.0,7.05,0.32
2412,Warehouse,7,MAGNOLIA / QUEEN ANNE,1968,2,29498,Non-Refrigerated Warehouse,19749.0,Office,9148.0,None,0.0,,136.0,3930355.5,0.0,3253683.0,515217.0,50.05,1.7
2413,Warehouse,4,LAKE UNION,1938,1,23050,Non-Refrigerated Warehouse,23050.0,None,0.0,None,0.0,27.0,21.10000038,486485.3125,0.0,466673.0,0.0,3.25,0.14
2414,Small- and Mid-Sized Office,4,LAKE UNION,2008,4,48350,Small- and Mid-Sized Office,48350.0,None,0.0,None,0.0,45.0,74.69999695,3280955.5,0.0,3168131.0,0.0,22.09,0.46
2415,Retail Store,4,NORTHEAST,1930,1,46059,Retail Store,46000.0,None,0.0,None,0.0,82.0,36.0,1656820.0,0.0,1374074.0,208582.0,20.66,0.45
2432,Medical Office,4,NORTHEAST,1970,2,23595,Medical Office,23595.0,None,0.0,None,0.0,72.0,34.90000153,823716.875,0.0,799401.0,18009.0,6.53,0.28
2438,Small- and Mid-Sized Office,7,DOWNTOWN,1900,3,28142,Office,28142.0,None,0.0,None,0.0,96.0,32.40000153,911154.125,340615.5938,414101.0,92381.0,34.08,1.21
2439,Small- and Mid-Sized Office,7,DOWNTOWN,1900,3,28760,Office,12314.0,Retail Store,6020.0,Non-Refrigerated Warehouse,6000.0,,112.0,2726126.75,500752.8125,572200.0,1543021.0,124.59,4.33
2440,Small- and Mid-Sized Office,7,DOWNTOWN,1902,4,39030,Office,32001.0,Retail Store,6685.0,None,0.0,99.0,20.0,773324.6875,0.0,524342.0,188985.0,13.69,0.35
2441,Small- and Mid-Sized Office,7,DOWNTOWN,1909,3,47215,Office,23659.0,Retail Store,22376.0,None,0.0,58.0,46.40000153,2136896.0,0.0,1597575.0,991813.0,63.81,1.35
2442,Other,3,EAST,1926,2,61580,Other,36280.0,Parking,23154.0,None,0.0,,123.8000031,4489734.5,0.0,3327045.0,872398.0,69.53,1.13
2443,Small- and Mid-Sized Office,3,EAST,1917,3,30720,Office,29720.0,Retail Store,1000.0,None,0.0,,44.29999924,1361277.25,0.0,930084.0,358585.0,25.53,0.83
2444,Mixed Use Property,3,EAST,1916,2,20640,Retail Store,9750.0,Office,9212.0,Restaurant,2450.0,,19.29999924,412562.4063,0.0,412562.0,0.0,2.88,0.14
2445,Mixed Use Property,3,EAST,1912,2,34914,Retail Store,14983.0,Restaurant,10638.0,Office,5837.0,,41.79999924,1314474.5,0.0,1333290.0,0.0,9.29,0.27
2446,Small- and Mid-Sized Office,3,EAST,1906,3,20897,Office,10228.0,Retail Store,3433.0,Non-Refrigerated Warehouse,3400.0,,60.5,1031474.188,0.0,725243.0,239681.0,17.79,0.85
2447,Retail Store,3,EAST,1916,2,36940,Retail Store,36940.0,None,0.0,None,0.0,100.0,9.100000381,336745.4063,0.0,336745.0,0.0,2.35,0.06
2448,Small- and Mid-Sized Office,3,EAST,1913,3,22866,Office,22866.0,None,0.0,None,0.0,,53.09999847,1213909.875,0.0,877955.0,275735.0,20.76,0.91
2449,Retail Store,3,EAST,1920,1,30240,Retail Store,32205.0,Restaurant,714.0,None,0.0,78.0,40.0,1316900.75,0.0,1061362.0,203265.0,18.19,0.6
2454,Other,4,NORTHEAST,1962,2,28586,Other,27022.0,None,0.0,None,0.0,,187.8999939,5078204.0,0.0,5078203.0,0.0,35.4,1.24
2457,Hotel,2,DOWNTOWN,1908,3,28800,Hotel,21600.0,Restaurant,7200.0,None,0.0,,161.3000031,4644346.0,0.0,1218294.0,3426052.0,190.45,6.61
2459,Restaurant,2,DOWNTOWN,1913,3,28800,Restaurant,28800.0,None,0.0,None,0.0,,32.5,935833.1875,0.0,402907.0,497017.0,29.21,1.01
2460,Small- and Mid-Sized Office,2,DOWNTOWN,1979,3,35202,Office,24227.0,Bank Branch,9127.0,None,0.0,2.0,108.0999985,3605755.5,0.0,3605755.0,0.0,25.14,0.71
2467,Senior Care Community,7,EAST,1969,6,95117,Senior Care Community,69035.0,Parking,26082.0,None,0.0,1.0,107.6999969,7437745.0,0.0,4307003.0,2895138.0,183.79,1.93
2469,Worship Facility,3,EAST,1910,2,24600,Worship Facility,24600.0,None,0.0,None,0.0,69.0,14.10000038,347690.5938,0.0,258312.0,72748.0,5.66,0.23
2471,Worship Facility,3,EAST,1900,1,48850,Worship Facility,28725.0,Office,4325.0,Other,3700.0,,34.29999924,1259282.25,815676.125,239923.0,7881.0,65.05,1.33
2482,Hospital,1,SOUTHWEST,1961,3,54863,Hospital (General Medical & Surgical),109726.0,None,0.0,None,0.0,100.0,18.79999924,2066851.25,0.0,2037720.0,0.0,14.21,0.26
2489,Warehouse,2,GREATER DUWAMISH,1964,1,25000,Non-Refrigerated Warehouse,13393.0,Food Sales,7500.0,Office,4107.0,,81.80000305,2044286.625,0.0,861621.0,1127483.0,65.89,2.64
2490,Warehouse,2,GREATER DUWAMISH,1960,1,25000,Non-Refrigerated Warehouse,24000.0,Office,1000.0,None,0.0,,13.69999981,342696.3125,0.0,143797.0,143335.0,8.61,0.34
2491,Other,2,GREATER DUWAMISH,1927,1,22622,Manufacturing/Industrial Plant,23000.0,None,0.0,None,0.0,,37.90000153,872014.3125,0.0,315436.0,458640.0,26.56,1.17
2492,Small- and Mid-Sized Office,3,EAST,1917,3,27544,Office,22365.0,Parking,3744.0,None,0.0,94.0,48.79999924,1092060.75,0.0,810115.0,221553.0,17.41,0.63
2512,Other,7,MAGNOLIA / QUEEN ANNE,1961,3,22960,Entertainment/Public Assembly,22960.0,None,0.0,None,0.0,,106.5999985,2447325.5,0.0,542327.0,1724655.0,95.38,4.15
2514,Supermarket / Grocery Store,3,EAST,1998,1,44739,Supermarket/Grocery Store,44739.0,Parking,0.0,None,0.0,17.0,335.3999939,15006878.0,0.0,8270312.0,6315500.0,393.07,8.79
2518,Mixed Use Property,4,NORTHEAST,1948,1,22778,Retail Store,21194.0,Office,12923.0,Restaurant,3720.0,,61.20000076,2675057.75,0.0,224359.0,2246207.0,120.86,5.31
2519,Worship Facility,6,BALLARD,1956,2,21562,Worship Facility,21052.0,Pre-school/Daycare,400.0,None,0.0,20.0,46.59999847,1000251.875,0.0,189790.0,677016.0,37.28,1.73
2521,Other,3,CENTRAL,1959,1,25753,Entertainment/Public Assembly,25753.0,None,0.0,None,0.0,,62.59999847,1612521.0,0.0,231543.0,1146587.0,62.51,2.43
2522,Other,3,EAST,1928,3,71280,Recreation,71280.0,None,0.0,None,0.0,,325.5,23204450.0,0.0,7528486.0,15239341.0,861.85,12.09
2523,K-12 School,3,EAST,1925,3,38297,K-12 School,38297.0,None,0.0,None,0.0,85.0,55.59999847,2127889.25,0.0,624583.0,1220568.0,69.18,1.81
2524,Senior Care Community,3,EAST,1963,16,153312,Senior Care Community,148590.0,Parking,72317.0,Worship Facility,4722.0,51.0,99.59999847,22092840.0,0.0,6566843.0,14061838.0,792.6,5.17
2535,Worship Facility,2,SOUTHEAST,1968,1,24200,Worship Facility,24200.0,Parking,0.0,None,0.0,73.0,37.20000076,900697.125,0.0,466335.0,360154.0,22.38,0.92
2547,Self-Storage Facility,1,DELRIDGE,1994,3,66610,Self-Storage Facility,66720.0,None,0.0,None,0.0,,11.10000038,742571.5,0.0,329414.0,310963.0,18.81,0.28
2548,Other,2,GREATER DUWAMISH,1950,1,36000,Other,34000.0,Office,1400.0,None,0.0,,108.0,3823703.75,0.0,2922836.0,723217.0,58.79,1.63
2559,K-12 School,5,NORTHWEST,1938,2,23222,K-12 School,15006.0,None,0.0,None,0.0,62.0,88.80000305,1331981.25,0.0,210763.0,1009100.0,55.06,2.37
2562,Mixed Use Property,3,EAST,1924,2,24476,Fitness Center/Health Club/Gym,7501.0,Office,5872.0,Retail Store,5375.0,,117.1999969,2800725.0,0.0,1077101.0,1584953.0,91.69,3.75
2564,Retail Store,3,EAST,1910,2,24750,Retail Store,19240.0,Office,2050.0,Medical Office,1250.0,,40.20000076,906960.625,0.0,292118.0,490226.0,28.07,1.13
2567,K-12 School,3,EAST,1904,3,60000,K-12 School,48783.0,None,0.0,None,0.0,52.0,80.5,3928621.25,0.0,1537012.0,2088395.0,121.63,2.03
2568,Other,3,EAST,1954,2,46560,Entertainment/Public Assembly,46560.0,None,0.0,None,0.0,,15.80000019,734550.6875,0.0,419713.0,270845.0,17.31,0.37
2575,Other,7,MAGNOLIA / QUEEN ANNE,1980,3,30408,Bank Branch,25000.0,Parking,5408.0,None,0.0,61.0,58.79999924,1469861.875,0.0,1440554.0,0.0,10.04,0.33
2579,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1920,3,30109,Office,28400.0,Parking,7200.0,None,0.0,89.0,56.0,1589657.75,0.0,949635.0,516161.0,34.03,1.13
2581,K-12 School,1,SOUTHWEST,1964,2,39929,K-12 School,39929.0,None,0.0,None,0.0,82.0,50.09999847,2001873.25,0.0,1065111.0,748607.0,47.18,1.18
2583,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1960,2,25481,Office,25481.0,None,0.0,None,0.0,92.0,41.29999924,1052797.5,0.0,219291.0,697809.0,38.59,1.51
2584,Senior Care Community,2,SOUTHEAST,1967,1,141297,Senior Care Community,141297.0,None,0.0,None,0.0,76.0,144.1999969,20378838.0,0.0,6797882.0,12625460.0,717.93,5.08
2593,Small- and Mid-Sized Office,7,LAKE UNION,1912,2,27788,Office,32610.0,Restaurant/Bar,4874.0,None,0.0,73.0,56.79999924,2127889.25,0.0,1659964.0,459842.0,35.99,1.3
2603,Hotel,5,NORTHWEST,1990,4,41704,Hotel,41704.0,None,0.0,None,0.0,73.0,47.29999924,1974631.125,0.0,969192.0,974707.0,58.52,1.4
2606,Warehouse,2,GREATER DUWAMISH,1941,2,22324,Non-Refrigerated Warehouse,21000.0,None,0.0,None,0.0,53.0,34.40000153,723060.1875,0.0,193898.0,394958.0,22.33,1.0
2607,Other,2,GREATER DUWAMISH,1946,2,31360,Entertainment/Public Assembly,32000.0,None,0.0,None,0.0,,58.90000153,1886366.625,0.0,1126394.0,598714.0,39.65,1.26
2608,Mixed Use Property,2,GREATER DUWAMISH,1947,1,30496,Retail Store,14344.0,Manufacturing/Industrial Plant,10272.0,Office,8012.0,,68.0,2217613.5,0.0,1295854.0,696304.0,46.01,1.51
2614,Small- and Mid-Sized Office,3,EAST,1922,3,27600,Office,13175.0,Retail Store,9175.0,None,0.0,84.0,49.40000153,1103795.25,0.0,961739.0,110412.0,12.57,0.46
2623,Senior Care Community,6,NORTHWEST,1961,2,55974,Senior Care Community,56000.0,None,0.0,None,0.0,98.0,114.5,6412428.0,0.0,2657803.0,3477370.0,203.21,3.63
2626,K-12 School,2,GREATER DUWAMISH,1971,2,52901,K-12 School,52901.0,None,0.0,None,0.0,75.0,47.40000153,2508012.0,0.0,1273997.0,966345.0,60.2,1.14
2628,Senior Care Community,5,NORTH,1954,1,22583,Senior Care Community,22583.0,None,0.0,None,0.0,95.0,94.0,2123591.75,0.0,743706.0,1237654.0,70.92,3.14
2631,Small- and Mid-Sized Office,4,LAKE UNION,1997,3,31686,Office,25927.0,Parking,6750.0,Food Service,3743.0,35.0,72.80000305,2305643.5,0.0,2305643.0,0.0,16.07,0.51
2632,Small- and Mid-Sized Office,4,LAKE UNION,1981,3,26694,Office,24914.0,Parking,4720.0,None,0.0,92.0,29.5,735909.0,0.0,720171.0,0.0,5.02,0.19
2636,Warehouse,5,NORTHWEST,1972,1,29400,Non-Refrigerated Warehouse,25000.0,None,0.0,None,0.0,69.0,9.100000381,227509.5,0.0,227509.0,0.0,1.59,0.05
2637,Hotel,2,GREATER DUWAMISH,1992,3,22452,Hotel,22452.0,None,0.0,None,0.0,85.0,56.5,1269576.0,0.0,524385.0,719765.0,41.88,1.87
2642,Other,4,NORTHEAST,1912,2,25767,Bank Branch,17434.0,None,0.0,None,0.0,22.0,92.90000153,1620383.625,0.0,1581352.0,0.0,11.02,0.43
2643,Retail Store,4,NORTHEAST,1953,4,33910,Retail Store,14585.0,Office,14462.0,None,0.0,75.0,65.59999847,1904055.75,0.0,1270124.0,552710.0,38.21,1.13
2644,Worship Facility,4,NORTHEAST,1927,2,78401,Worship Facility,62400.0,Office,9940.0,K-12 School,4960.0,,36.29999924,2846592.0,0.0,939974.0,1522434.0,87.41,1.11
2654,Warehouse,4,LAKE UNION,1979,2,78716,Non-Refrigerated Warehouse,41275.0,Office,29399.0,Retail Store,6278.0,38.0,54.79999924,4311327.5,0.0,3680806.0,422994.0,48.13,0.61
2655,K-12 School,4,LAKE UNION,1910,2,33300,K-12 School,30740.0,None,0.0,None,0.0,92.0,61.90000153,1903636.375,0.0,335907.0,1258827.0,69.2,2.08
2656,Supermarket / Grocery Store,4,LAKE UNION,1957,1,28808,Supermarket/Grocery Store,31174.0,None,0.0,None,0.0,29.0,303.2000122,9450746.0,0.0,5713530.0,3519045.0,226.73,7.87
2667,Small- and Mid-Sized Office,4,NORTHEAST,1957,1,27966,Office,20962.0,Parking,7004.0,None,0.0,58.0,56.40000153,1181649.25,0.0,1100500.0,0.0,7.67,0.27
2668,Supermarket / Grocery Store,4,NORTHEAST,1950,1,26226,Supermarket/Grocery Store,25828.0,Parking,0.0,None,0.0,37.0,301.8999939,7798479.5,0.0,5349470.0,2238590.0,156.18,5.96
2671,Mixed Use Property,4,NORTHEAST,1976,2,34948,Bank Branch,19183.0,Parking,19183.0,None,0.0,17.0,63.79999924,1223177.375,0.0,1159807.0,0.0,8.09,0.23
2680,Small- and Mid-Sized Office,4,LAKE UNION,1998,3,37639,Office,20434.0,Laboratory,7557.0,None,0.0,,221.3999939,6197824.5,0.0,6197824.0,0.0,43.21,1.15
2682,Small- and Mid-Sized Office,7,DOWNTOWN,1900,4,22840,Office,18400.0,Other,4440.0,None,0.0,64.0,43.0,983053.375,0.0,881386.0,0.0,6.14,0.27
2683,Other,7,DOWNTOWN,1900,1,21420,Museum,10420.0,Bar/Nightclub,5000.0,Supermarket/Grocery Store,2000.0,,41.79999924,812371.625,0.0,722467.0,88170.0,9.72,0.45
2684,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1,20880,Office,20880.0,None,0.0,None,0.0,94.0,32.70000076,683274.0,0.0,683274.0,0.0,4.76,0.23
2686,Mixed Use Property,7,DOWNTOWN,1966,3,26000,Office,13000.0,Entertainment/Public Assembly,13000.0,None,0.0,,40.90000153,1063035.875,0.0,820061.0,242975.0,18.62,0.72
2687,Small- and Mid-Sized Office,7,DOWNTOWN,1900,3,38675,Office,12100.0,Restaurant,4281.0,None,0.0,,119.4000015,1956121.125,0.0,1280095.0,658682.0,43.91,1.14
2688,Small- and Mid-Sized Office,7,DOWNTOWN,1929,4,49951,Office,32039.0,Other,24035.0,None,0.0,,101.4000015,5683758.0,382080.0,2092919.0,2659447.0,185.33,3.71
2691,Medical Office,2,SOUTHEAST,2010,2,25880,Medical Office,25880.0,None,0.0,None,0.0,8.0,75.59999847,1956483.5,0.0,1805820.0,135908.0,19.81,0.77
2695,Worship Facility,4,NORTHEAST,1927,3,41013,Worship Facility,32098.0,Office,2310.0,None,0.0,,34.59999847,1191549.25,0.0,432910.0,647911.0,37.43,0.91
2697,Other,4,NORTHEAST,2004,2,21075,Social/Meeting Hall,18075.0,Office,3000.0,None,0.0,,81.40000153,1715969.625,0.0,652060.0,928977.0,53.88,2.56
2699,Worship Facility,4,NORTHEAST,1950,3,46485,Worship Facility,63922.0,None,0.0,None,0.0,83.0,26.39999962,1689227.75,0.0,759192.0,785803.0,47.03,1.01
2704,Small- and Mid-Sized Office,6,NORTHWEST,1965,4,56896,Office,40768.0,Parking,16128.0,None,0.0,96.0,37.0,1507071.5,0.0,997123.0,404925.0,28.46,0.5
2706,Worship Facility,6,NORTHWEST,1978,2,27500,Worship Facility,27500.0,None,0.0,None,0.0,60.0,23.79999924,654455.1875,0.0,343669.0,233454.0,14.79,0.54
2707,Small- and Mid-Sized Office,2,DOWNTOWN,1930,2,36630,Office,22000.0,Distribution Center,11000.0,None,0.0,90.0,16.39999962,541943.3125,0.0,541943.0,0.0,3.78,0.1
2708,Small- and Mid-Sized Office,7,DOWNTOWN,1900,3,26830,Office,16838.0,Other,10000.0,None,0.0,,79.69999695,2139205.25,0.0,1095970.0,1003417.0,60.93,2.27
2709,Small- and Mid-Sized Office,7,DOWNTOWN,1906,5,41920,Office,41920.0,None,0.0,None,0.0,95.0,26.29999924,1103594.75,0.0,1103595.0,0.0,7.69,0.18
2710,Small- and Mid-Sized Office,7,DOWNTOWN,1905,5,36879,Office,44000.0,None,0.0,None,0.0,92.0,37.79999924,1664247.375,0.0,1186017.0,351553.0,26.94,0.73
2711,Other,7,DOWNTOWN,1904,6,29820,Lodging/Residential,29820.0,None,0.0,None,0.0,,54.5,1624991.375,0.0,1069795.0,532160.0,35.72,1.2
2715,Small- and Mid-Sized Office,7,DOWNTOWN,1905,2,33640,Office,27322.0,None,0.0,None,0.0,70.0,41.90000153,1144343.125,0.0,1078536.0,0.0,7.52,0.22
2716,Warehouse,7,DOWNTOWN,1906,4,43484,Non-Refrigerated Warehouse,26416.0,Retail Store,9531.0,Office,7537.0,18.0,36.0,1567040.75,0.0,1567041.0,0.0,10.92,0.25
2720,Mixed Use Property,2,DOWNTOWN,1900,3,22480,Office,10800.0,Other,10800.0,Retail Store,7200.0,,34.09999847,981009.125,0.0,981009.0,0.0,6.84,0.3
2721,Hotel,2,DOWNTOWN,1925,4,33018,Hotel,23193.0,Retail Store,6165.0,None,0.0,49.0,175.5,5153234.0,0.0,1827547.0,3030034.0,173.67,5.26
2723,Small- and Mid-Sized Office,2,DOWNTOWN,1970,2,26510,Office,30800.0,None,0.0,None,0.0,91.0,33.0,1017753.188,0.0,893799.0,93265.0,11.18,0.42
2737,Warehouse,4,LAKE UNION,1938,1,40028,Non-Refrigerated Warehouse,33222.0,Retail Store,10208.0,Office,6200.0,80.0,19.0,942415.1875,0.0,938199.0,4216.0,6.76,0.17
2738,Small- and Mid-Sized Office,4,LAKE UNION,2007,3,44510,Office,26282.0,Parking,18228.0,None,0.0,23.0,85.59999847,2250450.5,0.0,2188051.0,0.0,15.25,0.34
2739,Worship Facility,5,NORTH,1954,1,21624,Worship Facility,21624.0,None,0.0,None,0.0,90.0,33.79999924,730124.5,0.0,313117.0,353571.0,20.96,0.97
2742,K-12 School,6,NORTHWEST,1970,1,42239,K-12 School,48799.0,None,0.0,None,0.0,83.0,49.40000153,2410752.0,0.0,894324.0,1251280.0,72.69,1.72
2744,K-12 School,6,NORTHWEST,1925,3,51360,K-12 School,51026.0,None,0.0,None,0.0,89.0,30.10000038,1535481.375,0.0,960186.0,442909.0,30.22,0.59
2747,Small- and Mid-Sized Office,2,DOWNTOWN,1993,3,21600,Office,11600.0,Restaurant,10000.0,None,0.0,,70.09999847,1514428.75,0.0,1069041.0,470135.0,32.42,1.5
2751,Hotel,2,DOWNTOWN,1910,5,40552,Hotel,40552.0,None,0.0,None,0.0,99.0,34.0,1377497.25,0.0,227435.0,972746.0,53.25,1.31
2761,Retail Store,2,DOWNTOWN,1917,2,24550,Retail Store,13500.0,Office,11050.0,None,0.0,100.0,42.0,1031447.625,0.0,90201.0,114794.0,6.73,0.27
2767,K-12 School,4,LAKE UNION,2000,2,61052,K-12 School,61052.0,None,0.0,None,0.0,80.0,41.79999924,2549041.25,0.0,1688937.0,677992.0,47.78,0.78
2770,Other,3,CENTRAL,1908,3,25864,Social/Meeting Hall,13364.0,Office,8420.0,None,0.0,,47.20000076,1028277.313,0.0,433559.0,594718.0,34.61,1.34
2774,Other,4,NORTHEAST,1924,3,20686,Lodging/Residential,20686.0,None,0.0,None,0.0,,63.90000153,1321763.125,0.0,464268.0,743236.0,42.71,2.06
2782,Mixed Use Property,2,EAST,2005,2,29508,Recreation,11074.0,Fitness Center/Health Club/Gym,8183.0,Parking,6569.0,,112.1999969,2506557.5,0.0,791940.0,1425680.0,81.24,2.75
2783,Senior Care Community,3,CENTRAL,1987,2,74840,Senior Care Community,74840.0,None,0.0,None,0.0,48.0,113.4000015,8485438.0,0.0,4111042.0,4157454.0,249.46,3.33
2784,Other,3,CENTRAL,1913,3,20992,Performing Arts,24600.0,Social/Meeting Hall,4625.0,Education,1665.0,,93.19999695,2879554.5,0.0,576892.0,1896410.0,104.74,4.99
2785,K-12 School,3,CENTRAL,1925,2,22344,K-12 School,22344.0,None,0.0,None,0.0,40.0,74.5,1663727.125,0.0,555586.0,967011.0,55.23,2.47
2789,University,3,EAST,1921,3,31900,College/University,26000.0,None,0.0,None,0.0,,105.3000031,2737986.0,0.0,753713.0,1712387.0,96.2,3.02
2790,Other,6,BALLARD,1950,2,29417,Recreation,18489.0,Fitness Center/Health Club/Gym,8946.0,Pre-school/Daycare,1445.0,,61.09999847,1816709.0,0.0,658940.0,972539.0,56.25,1.91
2795,Supermarket / Grocery Store,1,SOUTHWEST,1997,1,31841,Supermarket/Grocery Store,30899.0,Office,942.0,None,0.0,,426.6000061,13584036.0,0.0,6365315.0,6775259.0,404.21,12.69
2798,Mixed Use Property,3,EAST,1988,2,21036,Parking,11021.0,Fitness Center/Health Club/Gym,8164.0,Office,7280.0,,134.6000061,2830649.5,0.0,1450920.0,1284891.0,78.36,3.73
2800,Mixed Use Property,4,NORTHEAST,1999,2,32928,Parking,24288.0,Retail Store,16710.0,Office,16128.0,9.0,172.1000061,5652231.0,0.0,5652230.0,0.0,39.4,1.2
2801,Worship Facility,4,NORTHEAST,1954,2,20039,Worship Facility,20039.0,None,0.0,None,0.0,100.0,5.199999809,104722.2969,0.0,104722.0,0.0,0.73,0.04
2802,K-12 School,4,NORTHEAST,1928,2,54943,K-12 School,57247.0,None,0.0,None,0.0,94.0,43.59999847,2498122.25,0.0,665637.0,1489754.0,83.76,1.52
2803,Warehouse,2,GREATER DUWAMISH,1960,1,44476,Non-Refrigerated Warehouse,41256.0,None,0.0,None,0.0,33.0,37.09999847,1529218.125,0.0,931104.0,437016.0,29.7,0.67
2804,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1969,1,35017,Office,19785.0,Non-Refrigerated Warehouse,10234.0,Parking,0.0,66.0,46.40000153,1394293.5,0.0,904631.0,390854.0,27.06,0.77
2815,Worship Facility,3,SOUTHEAST,1963,2,22952,Worship Facility,22962.0,Parking,0.0,None,0.0,98.0,23.70000076,545136.5,0.0,123878.0,346789.0,19.28,0.84
2829,Warehouse,2,GREATER DUWAMISH,1976,1,21040,Non-Refrigerated Warehouse,21040.0,None,0.0,None,0.0,43.0,31.20000076,657383.1875,0.0,266815.0,325273.0,19.14,0.91
2830,Warehouse,2,GREATER DUWAMISH,1951,2,28032,Non-Refrigerated Warehouse,30000.0,None,0.0,None,0.0,52.0,51.29999924,1539819.875,0.0,510536.0,810529.0,46.61,1.66
2831,Distribution Center,2,GREATER DUWAMISH,1974,1,25620,Distribution Center,25620.0,None,0.0,None,0.0,82.0,25.5,652579.875,0.0,189949.0,360375.0,20.46,0.8
2832,Warehouse,2,DOWNTOWN,1992,3,33238,Non-Refrigerated Warehouse,33238.0,None,0.0,None,0.0,14.0,49.09999847,1632472.0,0.0,1632472.0,0.0,11.38,0.34
2833,K-12 School,3,EAST,1912,4,27800,K-12 School,11093.0,None,0.0,None,0.0,8.0,115.0,1275996.25,0.0,528460.0,652969.0,38.36,1.38
2835,Large Office,7,DOWNTOWN,2000,6,706176,Office,222807.0,Parking,78049.0,Bank Branch,5171.0,82.0,59.09999847,13473994.0,0.0,13270685.0,0.0,92.52,0.13
2839,Supermarket / Grocery Store,1,SOUTHWEST,1998,1,33706,Supermarket/Grocery Store,31746.0,None,0.0,None,0.0,22.0,283.2999878,8992072.0,0.0,5528496.0,3159194.0,206.33,6.12
2841,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,1961,2,37600,Non-Refrigerated Warehouse,18400.0,Other,16200.0,Office,3000.0,,65.90000153,2477406.25,0.0,472249.0,1699502.0,93.55,2.49
2851,K-12 School,5,NORTHWEST,1954,1,42128,K-12 School,42128.0,None,0.0,None,0.0,93.0,44.40000153,1869043.875,0.0,893537.0,815770.0,49.55,1.18
2857,K-12 School,6,BALLARD,1932,2,44753,K-12 School,46545.0,None,0.0,None,0.0,96.0,39.09999847,1817756.125,0.0,558868.0,1079824.0,61.25,1.37
2862,Other,3,EAST,1912,3,33708,Other,33708.0,None,0.0,None,0.0,,24.79999924,835610.875,166488.4063,567086.0,52750.0,19.61,0.58
